LCLid,Acorn,cluster_id
MAC000002,ACORN-A,2
MAC000003,ACORN-P,0
MAC000004,ACORN-E,2
MAC000005,ACORN-C,2
MAC000006,ACORN-Q,1
MAC000007,ACORN-H,0
MAC000008,ACORN-H,0
MAC000009,ACORN-L,1
MAC000010,ACORN-H,0
MAC000011,ACORN-N,1
MAC000012,ACORN-E,2
MAC000013,ACORN-K,1
MAC000014,ACORN-L,1
MAC000015,ACORN-E,2
MAC000016,ACORN-K,1
MAC000017,ACORN-C,2
MAC000018,ACORN-E,2
MAC000019,ACORN-K,1
MAC000020,ACORN-J,2
MAC000021,ACORN-E,0
MAC000022,ACORN-Q,1
MAC000023,ACORN-U,1
MAC000024,ACORN-E,0
MAC000025,ACORN-P,1
MAC000026,ACORN-D,2
MAC000027,ACORN-J,2
MAC000028,ACORN-E,2
MAC000029,ACORN-P,1
MAC000030,ACORN-A,0
MAC000031,ACORN-Q,0
MAC000032,ACORN-Q,1
MAC000033,ACORN-E,2
MAC000034,ACORN-E,0
MAC000035,ACORN-E,0
MAC000036,ACORN-E,2
MAC000037,ACORN-E,2
MAC000038,ACORN-L,1
MAC000039,ACORN-F,2
MAC000040,ACORN-A,0
MAC000041,ACORN-Q,1
MAC000042,ACORN-Q,1
MAC000043,ACORN-H,2
MAC000044,ACORN-F,2
MAC000045,ACORN-E,0
MAC000046,ACORN-N,1
MAC000047,ACORN-Q,1
MAC000048,ACORN-E,2
MAC000049,ACORN-E,0
MAC000050,ACORN-D,0
MAC000051,ACORN-F,0
MAC000052,ACORN-D,2
MAC000053,ACORN-F,2
MAC000054,ACORN-Q,1
MAC000055,ACORN-K,1
MAC000056,ACORN-Q,1
MAC000057,ACORN-E,0
MAC000058,ACORN-E,2
MAC000059,ACORN-H,2
MAC000060,ACORN-F,2
MAC000061,ACORN-Q,1
MAC000062,ACORN-H,2
MAC000063,ACORN-D,0
MAC000064,ACORN-E,0
MAC000065,ACORN-L,1
MAC000066,ACORN-E,2
MAC000067,ACORN-N,1
MAC000068,ACORN-L,0
MAC000069,ACORN-G,2
MAC000070,ACORN-H,2
MAC000071,ACORN-J,0
MAC000072,ACORN-E,2
MAC000073,ACORN-D,2
MAC000074,ACORN-H,2
MAC000075,ACORN-E,2
MAC000076,ACORN-E,0
MAC000077,ACORN-Q,1
MAC000078,ACORN-E,2
MAC000079,ACORN-D,0
MAC000080,ACORN-E,2
MAC000081,ACORN-K,1
MAC000082,ACORN-E,2
MAC000083,ACORN-J,2
MAC000084,ACORN-D,2
MAC000085,ACORN-D,0
MAC000086,ACORN-E,2
MAC000087,ACORN-E,2
MAC000088,ACORN-Q,1
MAC000089,ACORN-H,2
MAC000090,ACORN-Q,1
MAC000091,ACORN-H,2
MAC000092,ACORN-Q,1
MAC000093,ACORN-H,2
MAC000094,ACORN-G,2
MAC000095,ACORN-E,2
MAC000096,ACORN-C,0
MAC000097,ACORN-G,0
MAC000098,ACORN-F,2
MAC000099,ACORN-U,1
MAC000100,ACORN-N,0
MAC000101,ACORN-L,1
MAC000102,ACORN-Q,1
MAC000103,ACORN-A,0
MAC000104,ACORN-Q,1
MAC000105,ACORN-D,0
MAC000106,ACORN-L,1
MAC000107,ACORN-N,1
MAC000108,ACORN-J,2
MAC000109,ACORN-D,2
MAC000110,ACORN-A,0
MAC000111,ACORN-M,1
MAC000112,ACORN-A,0
MAC000113,ACORN-E,0
MAC000114,ACORN-M,1
MAC000115,ACORN-L,1
MAC000116,ACORN-E,0
MAC000117,ACORN-L,1
MAC000118,ACORN-G,2
MAC000119,ACORN-H,2
MAC000120,ACORN-E,2
MAC000121,ACORN-L,1
MAC000122,ACORN-E,2
MAC000123,ACORN-K,1
MAC000124,ACORN-H,2
MAC000125,ACORN-F,2
MAC000126,ACORN-E,2
MAC000127,ACORN-L,1
MAC000128,ACORN-H,2
MAC000129,ACORN-E,2
MAC000130,ACORN-K,1
MAC000131,ACORN-E,2
MAC000132,ACORN-E,2
MAC000133,ACORN-Q,0
MAC000134,ACORN-L,0
MAC000135,ACORN-Q,1
MAC000136,ACORN-Q,1
MAC000137,ACORN-H,2
MAC000138,ACORN-E,0
MAC000139,ACORN-D,0
MAC000140,ACORN-C,2
MAC000141,ACORN-E,2
MAC000142,ACORN-M,0
MAC000143,ACORN-F,2
MAC000144,ACORN-E,2
MAC000145,ACORN-F,2
MAC000146,ACORN-L,1
MAC000147,ACORN-F,2
MAC000148,ACORN-F,2
MAC000149,ACORN-F,2
MAC000150,ACORN-E,2
MAC000151,ACORN-G,2
MAC000152,ACORN-E,2
MAC000153,ACORN-E,0
MAC000154,ACORN-Q,1
MAC000155,ACORN-D,2
MAC000156,ACORN-F,2
MAC000157,ACORN-G,2
MAC000158,ACORN-H,2
MAC000159,ACORN-E,2
MAC000160,ACORN-F,2
MAC000161,ACORN-E,2
MAC000162,ACORN-Q,1
MAC000163,ACORN-F,0
MAC000164,ACORN-E,2
MAC000165,ACORN-E,2
MAC000166,ACORN-Q,1
MAC000167,ACORN-F,2
MAC000168,ACORN-E,2
MAC000169,ACORN-E,2
MAC000170,ACORN-F,2
MAC000171,ACORN-O,1
MAC000172,ACORN-E,2
MAC000173,ACORN-E,2
MAC000174,ACORN-Q,0
MAC000175,ACORN-E,2
MAC000176,ACORN-E,2
MAC000177,ACORN-F,2
MAC000178,ACORN-Q,0
MAC000179,ACORN-E,2
MAC000180,ACORN-F,0
MAC000181,ACORN-E,0
MAC000182,ACORN-E,2
MAC000183,ACORN-G,2
MAC000184,ACORN-F,2
MAC000185,ACORN-F,2
MAC000186,ACORN-E,2
MAC000187,ACORN-L,1
MAC000188,ACORN-F,2
MAC000189,ACORN-E,2
MAC000190,ACORN-F,2
MAC000191,ACORN-E,0
MAC000192,ACORN-F,2
MAC000193,ACORN-D,0
MAC000194,ACORN-D,2
MAC000195,ACORN-K,1
MAC000196,ACORN-Q,1
MAC000197,ACORN-F,2
MAC000198,ACORN-F,0
MAC000199,ACORN-L,1
MAC000200,ACORN-F,2
MAC000201,ACORN-F,2
